##########################
# CHINESE ESTATE BUILDINGS
##########################

# BUILDING VALUES

@east_asian_estate_main_construction_time = 730

@east_asian_estate_upgrade_construction_time_1 = 180
@east_asian_estate_upgrade_construction_time_2 = 240
@east_asian_estate_upgrade_construction_time_3 = 300
@east_asian_estate_upgrade_construction_time_4 = 360

@east_asian_estate_building_construction_time_1 = 360
@east_asian_estate_building_construction_time_2 = 420
@east_asian_estate_building_construction_time_3 = 480
@east_asian_estate_building_construction_time_4 = 540
@east_asian_estate_building_construction_time_5 = 600
@east_asian_estate_building_construction_time_6 = 660

@east_asian_manor_build_speed_1 = -0.01
@east_asian_manor_build_speed_2 = -0.02
@east_asian_manor_build_speed_3 = -0.03
@east_asian_manor_build_gold_cost_1 = -0.01
@east_asian_manor_build_gold_cost_2 = -0.02
@east_asian_manor_build_gold_cost_3 = -0.03
@east_asian_manor_travel_danger_1 = -2
@east_asian_manor_travel_danger_2 = -3
@east_asian_manor_travel_danger_3 = -5
@east_asian_manor_governor_xp_gain_mult_1 = 0.025
@east_asian_manor_governor_xp_gain_mult_2 = 0.05
@east_asian_manor_governor_xp_gain_mult_3 = 0.1
@east_asian_manor_trait_track_travel_xp_gain_mult_1 = 0.05
@east_asian_manor_trait_track_travel_xp_gain_mult_2 = 0.1
@east_asian_manor_trait_track_travel_xp_gain_mult_3 = 0.15
@east_asian_manor_confucian_education_xp_gain_mult_1 = 0.05
@east_asian_manor_confucian_education_xp_gain_mult_2 = 0.1
@east_asian_manor_confucian_education_xp_gain_mult_3 = 0.15
@east_asian_manor_trait_track_lifestyle_poet_xp_gain_mult_1 = 0.05
@east_asian_manor_trait_track_lifestyle_poet_xp_gain_mult_2 = 0.1
@east_asian_manor_trait_track_lifestyle_poet_xp_gain_mult_3 = 0.15
@east_asian_manor_learn_language_scheme_phase_duration_add_1 = -5
@east_asian_manor_learn_language_scheme_phase_duration_add_2 = -10
@east_asian_manor_learn_language_scheme_phase_duration_add_3 = -15
@east_asian_manor_study_confucian_classics_scheme_phase_duration_add_1 = -2
@east_asian_manor_study_confucian_classics_scheme_phase_duration_add_2 = -3
@east_asian_manor_study_confucian_classics_scheme_phase_duration_add_3 = -4
@east_asian_manor_monthly_treasury_from_military_budget_mult_1 = 0.01
@east_asian_manor_monthly_treasury_from_military_budget_mult_2 = 0.02
@east_asian_manor_monthly_treasury_from_military_budget_mult_3 = 0.03
@east_asian_manor_monthly_treasury_from_salary_budget_mult_1 = 0.01
@east_asian_manor_monthly_treasury_from_salary_budget_mult_2 = 0.02
@east_asian_manor_monthly_treasury_from_salary_budget_mult_3 = 0.03
@east_asian_manor_monthly_merit_per_title_maa_value_1 = 0.0005
@east_asian_manor_monthly_merit_per_title_maa_value_2 = 0.001
@east_asian_manor_monthly_merit_per_title_maa_value_3 = 0.002
@east_asian_manor_monthly_merit_per_liege_tax_1 = 0.002
@east_asian_manor_monthly_merit_per_liege_tax_2 = 0.004
@east_asian_manor_monthly_merit_per_liege_tax_3 = 0.006
@east_asian_manor_monthly_merit_1 = 0.15
@east_asian_manor_monthly_merit_2 = 0.25
@east_asian_manor_monthly_merit_3 = 0.4
@east_asian_manor_monthly_merit_mult_1 = 0.005
@east_asian_manor_monthly_merit_mult_2 = 0.01
@east_asian_manor_monthly_merit_mult_3 = 0.02
@east_asian_manor_monthly_prestige_add_1 = 0.1
@east_asian_manor_monthly_prestige_add_2 = 0.15
@east_asian_manor_monthly_prestige_add_3 = 0.25
@east_asian_manor_monthly_prestige_mult_1 = 0.025
@east_asian_manor_monthly_dynasty_prestige_add_1 = 0.05
@east_asian_manor_monthly_dynasty_prestige_add_2 = 0.1
@east_asian_manor_monthly_influence_add_1 = 0.1
@east_asian_manor_monthly_influence_add_2 = 0.25
@east_asian_manor_monthly_influence_add_3 = 0.5
@east_asian_manor_monthly_influence_mult_1 = 0.025
@east_asian_manor_monthly_gold_add_0 = 0.1
@east_asian_manor_monthly_gold_add_1 = 0.15
@east_asian_manor_monthly_gold_add_2 = 0.25
@east_asian_manor_monthly_gold_add_3 = 0.35
@east_asian_manor_monthly_gold_mult_domain_1 = 0.01
@east_asian_manor_monthly_gold_mult_1 = 0.01
@east_asian_manor_monthly_gold_mult_2 = 0.03
@east_asian_manor_monthly_gold_mult_3 = 0.05
@east_asian_manor_monthly_piety_add_1 = 0.1
@east_asian_manor_monthly_piety_add_2 = 0.25
