20:20:01:221 [ALWAYS]	GUDE Logging Started
20:20:01:221 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
20:20:01:221 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
20:20:01:221 [ERROR]	Initialize resume cache pointer failure
20:20:01:221 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
20:20:01:221 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
20:20:03:079 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
20:20:03:079 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
20:20:03:079 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
20:20:03:079 [ERROR]	Initialize resume cache pointer failure
20:20:03:079 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
20:20:03:079 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
